customer_id,customer_name,gender,age,age_group,join_date
1,Ashley Howard,Female,21,18-25,2025-01-05
2,Paul Martinez,Female,42,36-45,2023-09-19
3,Maria Lee,Male,44,36-45,2024-09-06
4,John Ingram,Female,34,26-35,2025-07-28
5,Aaron Warren,Male,30,26-35,2023-07-03
6,Donald Hughes,Female,63,56+,2024-03-08
7,Cheryl May,Female,27,26-35,2024-03-21
8,David Beck,Female,27,26-35,2023-04-01
9,Diana Steele,Female,59,56+,2023-05-30
10,Chase Hanna,Male,49,46-55,2025-08-27
11,Caitlin Beasley,Male,61,56+,2025-10-14
12,Kayla Scott,Female,18,18-25,2025-07-04
13,April Smith,Male,57,56+,2025-03-01
14,Matthew Green,Male,51,46-55,2024-10-22
15,Victor Carey,Male,41,36-45,2026-03-03
16,Jose Phelps,Female,49,46-55,2025-11-14
17,Douglas Harper,Female,48,46-55,2023-09-30
18,Carlos Smith,Male,35,26-35,2024-09-09
19,Dominique Cruz,Female,32,26-35,2023-06-09
20,Christy Garcia,Male,32,26-35,2025-12-06
21,Timothy Jenkins,Female,26,26-35,2023-08-31
22,Amanda Gray,Female,22,18-25,2025-11-27
23,Kelly Garcia,Female,56,56+,2024-04-08
24,Michael Oconnor,Male,18,18-25,2025-11-24
25,Jessica Ross,Male,44,36-45,2025-04-19
26,Susan Wilkins,Male,44,36-45,2023-04-09
27,Gabriel Banks,Male,41,36-45,2023-05-06
28,Kathy Patel,Female,35,26-35,2024-04-09
29,Michael Martin,Female,62,56+,2023-03-20
30,Amber Mills,Female,32,26-35,2025-07-07
31,Aaron Perez,Female,18,18-25,2023-07-01
32,Michele Jones,Male,26,26-35,2024-05-12
33,Chad Adams,Female,32,26-35,2024-11-02
34,Linda Bush,Male,24,18-25,2026-01-12
35,Cindy Ali,Male,27,26-35,2023-07-03
36,Felicia Robinson,Female,40,36-45,2024-06-16
37,Jessica Johnson,Male,33,26-35,2025-01-23
38,Christian Yoder,Female,50,46-55,2024-09-19
39,Shawn Maldonado,Female,64,56+,2024-07-31
40,Valerie Carter,Female,37,36-45,2023-12-06
41,Micheal Martinez,Female,19,18-25,2025-07-27
42,Dr. Lindsey Knox,Male,36,36-45,2024-06-27
43,Ashley Martinez,Female,36,36-45,2023-06-13
44,Rhonda Ramos,Male,38,36-45,2023-10-11
45,Ashley Carter,Female,39,36-45,2025-10-25
46,Adam Brown,Female,62,56+,2024-12-14
47,Alison Waters DDS,Male,49,46-55,2025-04-05
48,Angel Mitchell,Male,29,26-35,2024-12-24
49,Charles Brewer,Male,24,18-25,2023-07-15
50,Christina Sanchez,Male,40,36-45,2025-10-27
51,Alan Webb,Male,61,56+,2025-01-17
52,Carol Leonard,Male,29,26-35,2024-01-11
53,Kelly Hernandez,Male,49,46-55,2023-11-01
54,Gina Price,Male,32,26-35,2023-09-06
55,Thomas Barnes,Male,65,56+,2024-06-09
56,Lisa Ali,Female,48,46-55,2024-08-14
57,Kyle Lee,Female,21,18-25,2024-05-15
58,Charles Krueger,Female,53,46-55,2023-06-09
59,Kelly Cook,Male,48,46-55,2024-01-18
60,Cynthia Ball,Male,39,36-45,2024-01-03
61,Raymond Baker,Male,33,26-35,2023-04-05
62,Melissa Smith,Female,27,26-35,2023-03-22
